Sophie,Hannah
Rebecca,Giblin
Chris,Riccomini
Seth,Dickinson
Amal,El-Mohtar
Rob,Reich
Agatha,Christie
Dominik,Parisien
Paolo,Bacigalupi
Catherine,Howard
Jane,Smiley
Charles,Todd
Dorothy,Davis
Ruthanna,Emrys
Elizabeth,Hand
Rebecca,Scherm
Anthony,Horowitz
Chris,Power
Becky,Chambers
Bill,Bryson
Charles,Todd
Mary,Lawson
William,Gibson
Saeed,Jones
Elan,Mastai
Cristin,Terrill
Martha,Wells
Sarah,Gailey
Ann,Leckie
Alec,Nevala-Lee
Kim,Robinson
Virginia,Eubanks
Annalee,Newitz
Sarah,Crossan
Robert,Marasco
Marc,Reisner
Adrian,Tchaikovsky
Anthony,Doerr
Dorothy,Sayers
Morowa,Yejidé
Clifford,Stoll
Katherine,Hyde
Octavia,Butler
Barbara,Kingsolver
Greg,Egan
Julia,Phillips
Connie,Willis
John,McPhee
Lynne,Truss
Aimee,Ogden
Donald,Sobol
Benjamin,Stevenson
Paul,Chaat-Smith
Agatha,Christie
Ted,Chiang
Brandon,Taylor
James,Joyce
Lily,King
Daniel,Keyes
Claire,Watkins
David,Sedaris
Sophie,Hannah
Stephen,King
Sequoia,Nagamatsu
NK,Jemisin
Elaine,Castillo
Gerd,Gigerenzer
Rebecca,Makkai
Kate,Day
Ruth,Ware
TJ,Klune
Malka,Older
Ken,Liu
Jerry,Seinfeld
Kazuo,Ishiguro
Emily,St.JohnMandel
Ryka,Aoki
Mike,Chen
Ian,McEwan
David,Scheel
Ben,Orlin
Rebecca,Solnit
Edward,Ashton
Jane,Smiley
John,Reynolds
Katie,Williams
Scott,Hershovitz
Marisha,Pessl
Nnedi,Okorafor
Claire,North
Ocean,Vuong
Jennifer,Raff
Grace,Li
Vernor,Vinge
Ernest,Cline
Blake,Crouch
Sasha,LaPointe
Shelby,VanPelt
Ursula,LeGuin
Cecelia,Watson
Keith,Houston
Claudia,Lux
Yoon,Choi
John,Banville
Catherynne,Valente
Annette,Simon
Simon,Stålenhag
Lucy,Foley
Anna,James
Patrick,Catling
Mabel,Seeley
Mary,Rinehart
Cixin,Liu
Yume,Kitasei
Paolo,Bacigalupi
Joanne,Ramos
Brandon,Sanderson
Naomi,Alderman
Heidi,Heilig
José,Saramago
Shirley,Jackson
Nova,Jacobs
Patrick,deWitt
Andy,Weir
Nikki,Erlick
Janelle,Monáe
Yoko,Ogawa
Matt,Haig
Kim,Robinson
Isaac,Asimov
Chuck,Klosterman
Jordan,Castro
Rob,Hart
Jean,Korelitz
Elly,Griffiths
Ned,Blackhawk
Brenda,Peynado
Louise,Erdrich
Shehan,Karunatilaka
Micaiah,Johnson
Kemi,Ashing-Giwa
Kritika,Rao
Richard,Osman
Nick,Bantock
Stanislaw,Lem
Henry,James
E.R.,Eddison
Emma,Straub
Rich,Larson
Gabrielle,Zevin
Ada,Palmer
Bohumil,Hrabal
Naomi,Mitchison
Katherine,May
Thomas,Bernhard
Cory,Doctorow
Dmitriy,Ryaboy
Hank,Green
Max,Gladstone
Mehran,Sahami
Navah,Wolfe
Tobias,Buckell
Jeremy,Weinstein
Leigh,Bardugo
R.F.,Kuang
